#HI4PI cube SIN_,channel,square l, square b, angle, size
# angle: angle of east side of box compared to the line pointing towards the galactic north (measured increasing to the east) in degrees
# size: approximate length of one side of square in degrees
G04,501,73.76693,45.310489,10,4.5
G04,502,73.76693,45.310489,10,4.5
G04,503,73.76693,45.310489,10,4.5
G04,504,73.76693,45.310489,10,4.5
G04,505,73.76693,45.310489,10,4.5
G04,506,73.76693,45.310489,10,4.5
G04,507,73.76693,45.310489,10,4.5
G04,508,73.76693,45.310489,10,4.5
G04,509,73.76693,45.310489,10,4.5
G04,510,73.76693,45.310489,10,4.5
G05,502,105.57918,37.817246,20,4.5
G05,503,105.57918,37.817246,20,4.5
G05,504,105.57918,37.817246,20,4.5
G05,505,105.57918,37.817246,20,4.5
G05,506,105.57918,37.817246,20,4.5
G06,484,131.11711,38.495998,30,4.5
G06,485,131.11711,38.495998,30,4.5
G06,486,131.11711,38.495998,30,4.5
G06,487,131.11711,38.495998,30,4.5
G06,488,131.11711,38.495998,30,4.5
G06,489,131.11711,38.495998,30,4.5
G06,490,131.11711,38.495998,30,4.5
G06,491,131.11711,38.495998,30,4.5
G06,492,131.11711,38.495998,30,4.5
G06,493,131.11711,38.495998,30,4.5
G06,494,131.11711,38.495998,30,4.5
G06,495,131.11711,38.495998,30,4.5
G06,496,131.11711,38.495998,30,4.5
G06,497,131.11711,38.495998,30,4.5
G06,493,131.11711,38.495998,30,4.5
G06,494,131.11711,38.495998,30,4.5
G06,495,131.11711,38.495998,30,4.5
G06,496,131.11711,38.495998,30,4.5
G06,497,131.11711,38.495998,30,4.5
G06,498,131.11711,38.495998,30,4.5
G06,499,131.11711,38.495998,30,4.5
G06,500,131.11711,38.495998,30,4.5
G06,501,131.11711,38.495998,30,4.5
G06,502,131.11711,38.495998,30,4.5
G06,503,131.11711,38.495998,30,4.5
G06,504,131.11711,38.495998,30,4.5
G06,505,131.11711,38.495998,30,4.5
G06,506,131.11711,38.495998,30,4.5
G06,487,128.96242,45.217375,10,4.5
G06,488,128.96242,45.217375,10,4.5
G06,489,128.96242,45.217375,10,4.5
G06,490,128.96242,45.217375,10,4.5
G06,491,128.96242,45.217375,10,4.5
G06,492,128.96242,45.217375,10,4.5
G06,493,128.96242,45.217375,10,4.5
G06,494,128.96242,45.217375,10,4.5
G06,495,128.96242,45.217375,10,4.5
G06,487,121.70549,35.376651,10,4.5
G06,488,121.70549,35.376651,10,4.5
G06,489,121.70549,35.376651,10,4.5
G06,490,121.70549,35.376651,10,4.5
G06,491,121.70549,35.376651,10,4.5
G06,492,121.70549,35.376651,10,4.5
G07,484,148.67085,46.475256,50,4.5
G07,485,148.67085,46.475256,50,4.5
G07,486,148.67085,46.475256,50,4.5
G07,487,148.67085,46.475256,50,4.5
G07,488,148.67085,46.475256,50,4.5
G07,489,148.67085,46.475256,50,4.5
G07,490,148.67085,46.475256,50,4.5
G07,491,148.67085,46.475256,50,4.5
G07,492,148.67085,46.475256,50,4.5
G07,493,148.67085,46.475256,50,4.5
G07,494,148.67085,46.475256,50,4.5
G07,495,148.67085,46.475256,50,4.5
G08,487,162.927,49.826289,80,4.5
G08,488,162.927,49.826289,80,4.5
G08,489,162.927,49.826289,80,4.5
G08,490,162.927,49.826289,80,4.5
G08,487,156.98649,46.211006,80,4.5
G08,488,156.98649,46.211006,80,4.5
G08,489,156.98649,46.211006,80,4.5
G08,498,171.9355,45.033708,80,4.5
G08,499,171.9355,45.033708,80,4.5
G08,500,171.9355,45.033708,80,4.5
G08,501,171.9355,45.033708,80,4.5
G08,502,171.9355,45.033708,80,4.5
G08,503,171.9355,45.033708,80,4.5
G08,504,171.9355,45.033708,80,4.5
G09,496,216.87876,48.225772,10,4.5
G09,497,216.87876,48.225772,10,4.5
G09,498,216.87876,48.225772,10,4.5
G09,499,225.07101,38.92658,10,4.5
G09,500,225.07101,38.92658,10,4.5
G09,501,225.07101,38.92658,10,4.5
G09,502,225.07101,38.92658,10,4.5
G09,503,225.07101,38.92658,10,4.5
G11,498,225.42572,38.890687,40,4.5
G11,499,225.42572,38.890687,40,4.5
G11,500,225.42572,38.890687,40,4.5
G11,501,225.42572,38.890687,40,4.5
G11,502,225.42572,38.890687,40,4.5
G11,503,225.42572,38.890687,40,4.5
H01,490,10.992942,68.639302,70,4.5
H01,491,10.992942,68.639302,70,4.5
H01,492,10.992942,68.639302,70,4.5
H01,493,10.992942,68.639302,70,4.5
H01,494,10.992942,68.639302,70,4.5
H01,495,10.992942,68.639302,70,4.5
H01,496,10.992942,68.639302,70,4.5
H01,497,10.992942,68.639302,70,4.5
H01,498,10.992942,68.639302,70,4.5
H01,499,10.992942,68.639302,70,4.5
H01,500,10.992942,68.639302,70,4.5
H01,501,10.992942,68.639302,70,4.5
H01,502,10.992942,68.639302,70,4.5
H01,503,10.992942,68.639302,70,4.5
H01,504,10.992942,68.639302,70,4.5
H01,505,10.992942,68.639302,70,4.5
H01,506,10.992942,68.639302,70,4.5
H01,507,10.992942,68.639302,70,4.5
H01,508,10.992942,68.639302,70,4.5
H01,509,10.992942,68.639302,70,4.5
H01,510,10.992942,68.639302,70,4.5
H01,511,10.992942,68.639302,70,4.5
H01,487,32.425941,58.200467,70,4.5
H01,488,32.425941,58.200467,70,4.5
H01,489,32.425941,58.200467,70,4.5
H01,500,32.425941,58.200467,70,4.5
H01,501,32.425941,58.200467,70,4.5
H01,502,32.425941,58.200467,70,4.5
H01,503,32.425941,58.200467,70,4.5
H01,503,351.83958,62.825592,70,4.5
H01,560,351.83958,62.825592,70,4.5
H01,505,18.04111,51.9142,70,4.5
H01,506,18.04111,51.9142,70,4.5
H01,507,18.04111,51.9142,70,4.5
H02,562,50.915585,59.935074,70,4.5
H02,531,43.076055,54.207898,85,4.5
H02,530,43.076055,54.207898,85,4.5
H02,529,43.076055,54.207898,85,4.5
H02,528,43.076055,54.207898,85,4.5
H02,527,43.076055,54.207898,85,4.5
H02,526,43.076055,54.207898,85,4.5
H02,525,43.076055,54.207898,85,4.5
H02,524,43.076055,54.207898,85,4.5
H02,523,43.076055,54.207898,85,4.5
H02,522,43.076055,54.207898,85,4.5
H02,521,43.076055,54.207898,85,4.5
H02,520,43.076055,54.207898,85,4.5
H02,519,43.076055,54.207898,85,4.5
H02,531,61.220662,61.887051,85,4.5
H02,530,61.220662,61.887051,85,4.5
H02,529,61.220662,61.887051,85,4.5
H02,528,61.220662,61.887051,85,4.5
H02,527,61.220662,61.887051,85,4.5
H02,526,61.220662,61.887051,85,4.5
H02,525,61.220662,61.887051,85,4.5
H02,524,61.220662,61.887051,85,4.5
H02,523,61.220662,61.887051,85,4.5
H02,522,61.220662,61.887051,85,4.5
H02,513,59.711825,56.842781,85,4.5
H02,512,59.711825,56.842781,85,4.5
H02,511,59.711825,56.842781,85,4.5
H02,510,59.711825,56.842781,85,4.5
H02,509,59.711825,56.842781,85,4.5
H02,508,59.711825,56.842781,85,4.5
H02,505,50.886043,59.769069,85,4.5
H02,504,50.886043,59.769069,85,4.5
H02,503,50.886043,59.769069,85,4.5
H02,502,50.886043,59.769069,85,4.5
H02,501,50.886043,59.769069,85,4.5
H02,500,50.886043,59.769069,85,4.5
H02,499,50.886043,59.769069,85,4.5
H02,481,50.886043,59.769069,85,4.5
H02,480,50.886043,59.769069,85,4.5
H02,479,50.886043,59.769069,85,4.5
H02,493,32.019584,58.148005,85,4.5
H02,492,32.019584,58.148005,85,4.5
H02,491,32.019584,58.148005,85,4.5
H02,490,32.019584,58.148005,85,4.5
H02,489,32.019584,58.148005,85,4.5
H02,488,32.019584,58.148005,85,4.5
H02,487,32.019584,58.148005,85,4.5
H03,514,85.809374,69.811489,45,4.5
H03,513,85.809374,69.811489,45,4.5
H03,512,85.809374,69.811489,45,4.5
H03,511,85.809374,69.811489,45,4.5
H03,510,85.809374,69.811489,45,4.5
H03,509,85.809374,69.811489,45,4.5
H03,508,85.809374,69.811489,45,4.5
H03,507,85.809374,69.811489,45,4.5
H03,506,85.809374,69.811489,45,4.5
H03,505,85.809374,69.811489,45,4.5
H03,504,85.809374,69.811489,45,4.5
H03,503,85.809374,69.811489,45,4.5
H03,502,85.809374,69.811489,45,4.5
H03,501,85.809374,69.811489,45,4.5
H03,499,85.809374,69.811489,45,4.5
H03,498,85.809374,69.811489,45,4.5
H03,497,85.809374,69.811489,45,4.5
H03,496,85.809374,69.811489,45,4.5
H03,495,85.809374,69.811489,45,4.5
H03,494,85.809374,69.811489,45,4.5
H03,493,85.809374,69.811489,45,4.5
H03,492,85.809374,69.811489,45,4.5
H03,491,85.809374,69.811489,45,4.5
H03,490,85.809374,69.811489,45,4.5
H03,534,61.470885,62.004886,30,4.5
H03,533,61.470885,62.004886,30,4.5
H03,532,61.470885,62.004886,30,4.5
H03,531,61.470885,62.004886,30,4.5
H03,530,61.470885,62.004886,30,4.5
H03,529,61.470885,62.004886,30,4.5
H03,528,61.470885,62.004886,30,4.5
H03,527,61.470885,62.004886,30,4.5
H03,526,61.470885,62.004886,30,4.5
